PaperID,DOI,Year,url,Title
472,10.1115/DETC2010-28027,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610836,"Finite Element Modeling and Analysis of Orthotropic Butt Welds"
473,10.1115/DETC2010-28158,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610840,"Theoretical and Experimental Characterization of the 34.6 2D Lattice Material"
474,10.1115/DETC2010-28472,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610843,"A Viscoelastic Based Mechanism for Improving Spring-In Angle Predictions in Compression Molded Thermoplastic Matrix Composites"
475,10.1115/DETC2010-28494,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610845,"The Effect of Carbon Nanotubes on the Natural Frequencies of Microcantilever Beams"
476,10.1115/DETC2010-28549,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610848,"Experimental Damage Characterization of Hexagonal Honeycombs Subjected to In-Plane Shear Loading"
477,10.1115/DETC2010-28557,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610852,"Design of Chiral Honeycomb Meso-Structures for High Shear Flexure"
478,10.1115/DETC2010-28730,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610854,"A Study of the Effect of Geometry Changes on the Structural Stiffness of a Composite D-Spar"
479,10.1115/DETC2010-28731,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610857,"Low-Velocity Impact Behavior of Aluminum-Fiber/Epoxy Laminates: A Comprehensive Experimental Study"
480,10.1115/DETC2010-29186,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610859,"Safety of Spur Gear Design Under Non-Ideal Conditions With Uncertainty"
481,10.1115/DETC2010-28095,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610862,"Subfunctions as Parts of Functions: Some Formal Problems"
482,10.1115/DETC2010-28180,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610866,"Development and Application of a Patent-Based Design Around Process"
483,10.1115/DETC2010-28492,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610868,"A Port-Based Agent Approach to Guiding Concept Generation for Customizing Modular Varieties"
484,10.1115/DETC2010-28562,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610870,"Requirement Change Propagation Prediction Approach: Results From an Industry Case Study"
485,10.1115/DETC2010-28609,2010,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=1610873,"A Graph Theory Based Method for Functional Decoupling of a Design With Complex Interaction Structure"
