title,Abstract,year
"Design Under Uncertainty Using Monte Carlo Simulation and Probabilistic Sufficiency Factor","Monte Carlo simulation is commonly employed to evaluate system probability of failure for problems with multiple failure modes in design under uncertainty. The probability calculated from Monte Carlo simulation has random errors due to limited sample size, which create numerical noise in the dependence of the probability on design variables. This in turn may lead the design to spurious optimum. A probabilistic sufficiency factor (PSF) approach is proposed that combines safety factor and probability of failure. The PSF represents a factor of safety relative to a target probability of failure, and it can be calculated from the results of Monte Carlo simulation (MCS) with little extra computation. The paper presents the use of PSF with a design response surface (DRS), which fits it as function of design variables, filtering out the noise in the results of MCS. It is shown that the DRS for the PSF is more accurate than DRS for probability of failure or for safety index. The PSF also provides more information than probability of failure or safety index for the optimization procedure in regions of low probability of failure. Therefore, the convergence of reliability-based optimization is accelerated. The PSF gives a measure of safety that can be used more readily than probability of failure or safety index by designers to estimate the required weight increase to reach a target safety level. To reduce the computational cost of reliability-based design optimization, a variable-fidelity technique and deterministic optimization were combined with probabilistic sufficiency factor approach. Example problems were studied here to demonstrate the methodology.",2003
"A Cross-Evaluation Matrix (CEM) Rating Based Approach to Pareto Efficient Frontier and Design Alternatives Enumeration","This paper introduces a novel cross-evaluation matrix (CEM) rating based approach for the development of Pareto efficient frontiers and the finding of discrete sets of globally non-inferior design sets. This work, based on concepts from data envelopment analysis (DEA), can facilitate the enumeration of design candidates in a multi-criteria formulation. In addition, it is expected that the resulting design sets will provide the basis for the establishment of a value system and subsequent preference based rank ordering of expected outcomes in the single-criterion formulation. A unique feature of this cross-evaluation matrix approach is its ability to handle problems without requiring a priori tradeoff formulation or multiattribute model development. As such, its application does not require assignment of a set of a priori weight constants as in many well-established Pareto-optimal generating methods, nor does it need any a priori information of the global minimum or maximum of the attribute functions. Recognizing that the enumeration of multiple discrete solution alternatives can be best achieved in a parallel computation environment, the implementation in this work is executed with the aid of a genetic algorithm strategy. The effectiveness of the integrated approach in yielding Pareto-optimal candidate design sets under different scenarios are studied in the context of illustrative examples, including two engineering case studies, and the results are discussed.",2003
"An Integrated Framework for Probabilistic Optimization Using Inverse Reliability Strategy","In this work, we propose an integrated framework for probabilistic optimization that can bring both the design objective robustness and the probabilistic constraints into account. The fundamental development of this work is the employment of an inverse reliability strategy that uses percentile performance for assessing both the objective robustness and probabilistic constraints. The percentile formulation for objective robustness provides an accurate probabilistic measure for robustness and more reasonable compound noise combinations. For the probabilistic constraints, compared to a traditional probabilistic model, the proposed formulation is more efficient since it only evaluates the constraint functions at the required reliability levels. The other major development of this work is a new search algorithm for the Most Probable Point of Inverse Reliability (MPPIR) that can be used to efficiently evaluate the performance robustness and percentile performance in the proposed formulation. Multiple techniques are employed in the MPPIR search, including the steepest decent direction and an arc search. The algorithm is applicable to general non-concave and non-convex functions of system performance with random variables following any continuous distributions. The effectiveness of the MPPIR search algorithm is verified using example problems. Overall, an engineering example on integrated robust and reliability design of a vehicle combustion engine piston is used to illustrate the benefits of the proposed method.",2003
"An Approach to Robust Multiattribute Concept Selection","In this paper, we investigate and extend a method of selecting among a set of concepts or alternatives using multiple, potentially conflicting criteria. This method, called the Hypothetical Equivalents and Inequivalents Method (HEIM), has been shown to avoid the many pitfalls of already existing methods for such problems, such as pair-wise comparison, ranking methods, rating methods, and weighted sum approaches. The existence of multiple optimal sets of attribute weights based on a set of stated preferences is investigated. Using simple visualization techniques, we show that there is a range of weights that satisfy the constraints of HEIM. Depending on the attribute weights used, multiple possible alternative winners could exist. The visualization techniques, coupled with an indifference point analysis, are then used to understand the robustness of the solution obtained and determine the appropriate additional constraints necessary to identify a single robust optimal alternative.",2003
"An Indicator Response Surface-Based Monte Carlo Method for Efficient Component and System Reliability Analysis","Reliability analysis methods are commonly used in engineering design, in order to meet reliability and quality measures. An accurate and efficient computational method is presented for reliability analysis of engineering systems at both the component and system levels. The method can easily handle implicit, highly nonlinear limit-state functions, with correlated or non-correlated random variables, which are described by any probabilistic distribution. It is based on a constructed response surface of an indicator function, which determines the “failure” and “safe” regions, according to the performance function. A Monte Carlo simulation (MCS) calculates the probability of failure based on a response surface of the indicator function, instead of the computationally expensive limit-state function. The Cross-Validated Moving Least Squares (CVMLS) method is used to construct the response surface of the indicator function, based on an Optimum Symmetric Latin Hypercube (OSLH) sampling technique. A number of numerical examples highlight the superior accuracy and efficiency of the proposed method over commonly used reliability methods.",2003
"Reliability-Based Design With the Mixture of Random and Interval Variables","In Reliability-Based Design (RBD), uncertainties usually imply for randomness. Nondeterministic variables are assumed to follow certain probability distributions. However, in real engineering applications, some of distributions may not be precisely known or uncertainties associated with some uncertain variables are not from randomness. These nondeterministic variables are only known within intervals. In this paper, a method of RBD with the mixture of random variables with distributions and uncertain variables with intervals is proposed. The reliability is considered under the condition of the worst combination of interval variables. In comparison with traditional RBD, the computational demand of RBD with the mixture of random and interval variables increases dramatically. To alleviate the computational burden, a sequential single-loop procedure is developed to replace the computationally expensive double-loop procedure when the worst case scenario is applied directly. With the proposed method, the RBD is conducted within a series of cycles of deterministic optimization and reliability analysis. The optimization model in each cycle is built based on the Most Probable Point (MPP) and the worst case combination obtained in the reliability analysis in previous cycle. Since the optimization is decoupled from the reliability analysis, the computational amount for MPP search is decreased to the minimum extent. The proposed method is demonstrated with a structural design example.",2003
"Application of the Sequential Optimization and Reliability Assessment Method to Structural Design Problems","The use of probabilistic optimization in structural design applications is hindered by the huge computational cost associated with evaluating probabilistic characteristics, where the computationally expensive finite element method (FEM) is often used for simulating design performance. In this paper, a Sequential Optimization and Reliability Assessment (SORA) method with analytical derivatives is applied to improve the efficiency of probabilistic structural optimization. With the SORA method, a single loop strategy that decouples the optimization and the reliability assessment is used to significantly reduce the computational demand of probabilistic optimization. Analytical sensitivities of displacement and stress functionals derived from finite element formulations are incorporated into the probability analysis without recurring excessive cost. The benefits of our proposed methods are demonstrated through two truss design problems by comparing the results with using conventional approaches. Results show that the SORA method with analytical derivatives is the most efficient with satisfactory accuracy.",2003
"Structural Durability Design Optimization and Its Reliability Assessment","Mechanical fatigue subject to external and inertia transient loads in the service life of mechanical systems often leads a structural failure due to accumulated damage. Structural durability analysis that predicts the fatigue life of mechanical components subject to dynamic stresses and strains is a compute intensive multidisciplinary simulation process, since it requires an integration of several computer-aided engineering tools and large amount of data communication and computation. Uncertainties in geometric dimensions due to manufacturing tolerances cause the indeterministic nature of fatigue life of the mechanical component. Due to the fact that uncertainty propagation to structural fatigue under transient dynamic loading is not only numerically complicate but also extremely expensive, it is a challenging task to develop structural durability-based design optimization process and reliability analysis to ascertain whether the optimal design is reliable. The objective of this paper is development of an integrated CAD-based computer-aided engineering process to effectively carry out the design optimization for a structural durability, yielding a durable and cost-effectively manufacturable product. In addition, a reliability analysis is executed to assess the reliability for the deterministic optimal design.",2003
"Incorporating Epistemic Uncertainty in Robust Design","There are two sorts of uncertainty inherent in engineering design, ",2003
"Robust Optimization of an Automotive Valvetrain Using a Multiobjective Genetic Algorithm","A robust optimization of an automobile valvetrain is presented where the variation of engine performances due to the component dimensional variations is minimized subject to the constraints on mean engine performances. The dimensional variations of valvetrain components are statistically characterized based on the measurements of the actual components. Monte Carlo simulation is used on a neural network model built from an integrated high fidelity valvetrain-engine model, to obtain the mean and standard deviation of horsepower, torque and fuel consumption. Assuming the component production cost is inversely proportional to the coefficient of variation of its dimensions, a multi-objective optimization problem minimizing the variation in engine performances and the total production cost of components is solved by a multi-objective genetic algorithm (MOGA). The comparisons using the newly developed Pareto front quality index (PFQI) indicate that MOGA generates the Pareto fronts of substantially higher quality, than SQP with varying weights on the objectives. The current design of the valvetrain is compared with two alternative designs on the obtained Pareto front, which suggested potential improvements.",2003
