title,Abstract,year
"Integrated Decision Model for Interrelated Sub-Problems of Part Design or Selection, Machine Loading and Machining Optimization","In the work presented in this paper, we made an attempt to integrate the decisions for interrelated sub-problems of part design or selection, machine loading and machining optimization in a random flexible manufacturing system (FMS). The main purpose was to come up with an optimization model for achieving more generic and consistent decisions for the FMS and which can be practically implemented on the shop floor to help designers and other engineers in several ways, including, for instance, to optimize the designs of parts for specific FMS. In order to attain the generic decisions, an integer nonlinear programming (INLP) problem was formulated and solved to maximize the FMS throughput. Based on the results, the part design or selection, machine loading and machining optimization decisions can be simultaneously made. To get more insights of the results and also to check the validity of the model, a two-factor full factorial design was implemented for the sensitivity analysis, analysis of variance (ANOVA) and residual analysis. The computational analyses show that the tooling budget and available processing time were both statistically significant to throughput and confirmed that the model is valid with the data normally distributed.",2009
"Automated Synthesis and Optimization of Gear Train Topologies","A method for automating the design of simple and compound gear trains using graph grammars is described. The resulting computational tool removes the tedium for engineering designers searching through the immense number of possible gear choices and combinations by hand. The variables that are automatically optimized by the computational tool include the gear dimensions as well as the location of the gears in space. The gear trains are optimized using a three-step process. The first step is a tree-search based on a language of gear rules which represent all possible gear train configurations. The second step optimizes the discrete values such as number of teeth through an exhaustive search of a gear catalog. The final step is a gradient-based algorithm which optimizes the non-discrete variables such as angles and lengths in the positioning of the gears. The advantage of this method is that the graph grammar allows all possible simple and compound gear trains to be included in the search space while the method of optimization ensures the optimal candidate for a given problem is chosen with the tuned parameters.",2009
"Hybrid General Heuristic Gradient Projection for Frame Optimization of Micro and Macro Applications","In this paper, a generalization is suggested for the Heuristic Gradient Projection method. The previous Heuristic Gradient Projection method (HGP) has been developed for 3D-frame design and optimization. It mainly employed bending stress relations in order to simplify the process of iterations for stress constrained optimization. The General Heuristic Gradient Projection (GHGP) is used in a more general form to satisfy the stress constraints. Another direct search method is hybridized to satisfy other constraints on deflection. Two examples are solved using the new method. The proposed method is compared with the Hybrid Fuzzy Heuristic technique (FHGP) when solving a MEMS resonator. Results showed that the proposed hybrid technique with (GHGP) converges to the optimum solutions faster by an 8%. The MEMS weight is also decreased by 23.7%. For a macro level, the GHGP improved the solution time by 33.3%. The hybrid technique with (GHGP) improved the stresses in the members of the optimum ten-member cantilever.",2009
"Automated Vehicle Structural Crashworthiness Design via a Crash Mode Matching Algorithm","This paper presents an automated algorithm for design of vehicle structures for crashworthiness, based on the analyses of the structural ",2009
"System Dynamics Through Graphical Dimensional Analysis","Dimensional analysis is a powerful tool used commonly to develop functional relations between variables affecting a physical system. Known for its versatility in incorporating several different energy domains, the method has allowed for dimensional manipulation of diverse parameters. However, the dimensional combinations developed have been, for the most part, strictly confined to static and time invariant systems. Expanding on the process we introduce a graphical approach to dimensionally model dynamic systems for design. Continuing this extension, we present a graphical and topological combination to illustrate the applicability of dimensional analysis as a state equation generation tool. This tool is comparable to conventional differential element analysis in system dynamics, but provides a systematic and visual approach to design modeling. Further, this exposition acts as a learning instrument where complex engineering equations are derived and interpreted through visual perception similar to a block diagram or flow chart. A dynamic system, in the form of a compressed air–water rocket, is also evaluated in this paper for elucidation.",2009
"Development of a Changeable Airfoil Optimization Model for Use in the Multidisciplinary Design of Unmanned Aerial Vehicles","Complex systems need to perform in a variety of functional states and under varying operating conditions. Therefore, it is important to manage the different values of design variables associated with the operating states for each subsystem. The research presented in this paper uses multidisciplinary optimization (MDO) and changeable systems methods together in the design of a reconfigurable Unmanned Aerial Vehicle (UAV). MDO is a useful approach for designing a system that is composed of distinct disciplinary subsystems by managing the design variable coupling between the subsystem and system level optimization problems. Changeable design research addresses how changes in the physical configuration of products and systems can better meet distinct needs of different operating states. As a step towards the development of a realistic reconfigurable UAV optimization problem, this paper focuses on the performance advantage of using a changeable airfoil subsystem. Design principles from transformational design methods are used to develop concepts that determine how the design variables are allowed to change in the mathematical optimization problem. The performance of two changeable airfoil concepts is compared to a fixed airfoil design over two different missions that are defined by a sequence of mission segments. Determining the configurations of the static and changeable airfoils is accomplished using a genetic algorithm. Results from this study show that aircraft with changeable airfoils attain increased performance, and that the manner by which the system transforms is significant. For this reason, the changeable airfoil optimization developed in this paper is ready to be integrated into a complete MDO problem for the design of a reconfigurable UAV.",2009
"Design Optimization of a Special Class of Steel Structures via Genetic Algorithms and Stochastic Sampling","This paper addresses the design optimization of a special class of steel structures, which is clear-span building built up via off-shelf standard steel-sections. The problem is of particular importance in small to medium span buildings due to an attractive opportunity for reduction of the manufacturing cost compared to trusses and custom-built beams. The problem is also difficult from an optimization perspective as it exhibits both continuous and discrete variables, as well as discontinuities and flat regions in the topology of the objective function. Genetic algorithms (GA) and a special stochastic sampling technique are considered for the problem, as well as a mixed GA and stochastic sampling approach. The stochastic sampling is guided via heuristic rules based on knowledge specific to the problem, and is thus perceived well suited to the optimization task. While all the tested algorithms produced satisfactory results, the mixed approach seemed to yield the most consistent performance.",2009
"Variable Fidelity Modeling as Applied to Trajectory Optimization for a Hydraulic Backhoe","Modeling, simulation, and optimization play vital roles throughout the engineering design process; however, in many design disciplines the cost of simulation is high, and designers are faced with a tradeoff between the number of alternatives that can be evaluated and the accuracy with which they are evaluated. In this paper, a methodology is presented for using models of various levels of fidelity during the optimization process. The intent is to use inexpensive, low-fidelity models with limited accuracy to recognize poor design alternatives and reserve the high-fidelity, accurate, but also expensive models only to characterize the best alternatives. Specifically, by setting a user-defined performance threshold, the optimizer can explore the design space using a low-fidelity model by default, and switch to a higher fidelity model only if the performance threshold is attained. In this manner, the high fidelity model is used only to discern the best solution from the set of good solutions, so computational resources are conserved until the optimizer is close to the solution. This makes the optimization process more efficient without sacrificing the quality of the solution. The method is illustrated by optimizing the trajectory of a hydraulic backhoe. To characterize the robustness and efficiency of the method, a design space exploration is performed using both the low and high fidelity models, and the optimization problem is solved multiple times using the variable fidelity framework.",2009
"Creating Polytope Representation of Design Spaces for Visual Exploration Using Consistency Technique","A polytope-based representation is presented to approximate the feasible space of a design concept that is described mathematically using constraints. A method for constructing such design spaces is also introduced. Constraints include equality and inequality relationships between design variables and performance parameters. The design space is represented as a finite set of (at most) 3-dimensional (possibly non-convex) polytopes, i.e., points, intervals, polygons (both open and closed) and polyhedra (both open and closed). These polytopes approximate the locally connected design space around an initial feasible point. The algorithm for constructing the design space is developed by adapting consistency algorithm for polytope representations.",2009
"Modular Product Design Using Cyberinfrastructure for Global Manufacturing","Modularization of parts — a fairly recent trend in product development — facilitates part definitions in a standardized, machine-readable form, so that we can define a part based on its input(s), output(s), features, and geometric information. Standardizing part definitions will enable manufacturing companies to more easily identify part suppliers in global, virtual environments. This standard representation of parts also facilitates modular product design during parametric design. We will show that this problem of modular product design can be formulated as an AI Planning problem, and we propose a solution framework to support modular product design. Using part specification information for personal computers, we demonstrate the proposed framework and discuss its implications for global manufacturing.",2009
