title,Abstract,year
"Electromagnetic Design of In-Vehicle Reactor Using a Level-Set Based Topology Optimization Method","In this paper, we propose a level-set based topology optimization method for designing a reactor, which is used as a part of the DC-DC converter in electric and hybrid vehicles. Since it realizes a high-power driving motor and its performance relies on its component, i.e., reactor core, it is valuable to establish a reasonable design method for the reactor core. Boundary tracking type level-set topology optimization is suitable for this purpose, because the shape and topology of the target structure is clearly represented by the zero boundary of the level-set function, and the state variables are accurately computed using the zero boundary tracking mesh. We formulate the design problem on the basis of electromagnetics, and derive the design sensitivities. The derived sensitivities are linked with boundary tracking type level-set topology optimization, and as a result, a useful structural optimization method for the reactor core design problem is developed.",2014
"Image Matching Assessment of Attainable Topology via Kriging-Interpolated Level-Sets","Level-set methods are domain classification techniques that are gaining popularity in the recent years for structural topology optimization. Level sets classify a domain into two or more categories (such as material and void) by examining the value of a scalar level-set function (LSF) defined in the entire design domain. In most level-set formulations, a large number of design variables, or degrees of freedom is used to define the LSF, which implicitly defines the structure. The large number of design variables makes non-gradient optimization techniques all but ineffective. Kriging-interpolated level sets (KLS) on the other hand are formulated with an objective to enable non-gradient optimization by defining the design variables as the LSF values at few select locations (knot points) and using a Kriging model to interpolate the LSF in the rest of the design domain. A downside of concern when adopting KLS, is that using too few knot points may limit the capability to represent complex shapes, while using too many knot points may cause difficulty for non-gradient optimization. This paper presents a study of the effect of number and layout of the knot points in KLS on the capability to represent complex topologies in single and multi-component structures. Image matching error metrics are employed to assess the degree of mismatch between target topologies and those best-attainable via KLS. Results are presented in a catalogue-style in order to facilitate appropriate selection of knot-points by designers wishing to apply KLS for topology optimization.",2014
"Multi-Objective Selection of Cutting Conditions in Advanced Machining Processes via an Efficient Global Optimization Approach","Optimum selection of cutting conditions in high-speed and ultra-precision machining processes often poses a challenging task due to several reasons; such as the need for costly experimental setup and the limitation on the number of experiments that can be performed before tool degradation starts becoming a source of noise in the readings. Moreover, oftentimes there are several objectives to consider, some of which may be conflicting, while others may be somewhat correlated. Pareto-optimality analysis is needed for conflicting objectives; however the existence of several objectives (high-dimension Pareto space) makes the generation and interpretation of Pareto solutions difficult. The approach adopted in this paper is a modified multi-objective efficient global optimization (m-EGO). In m-EGO, sample data points from experiments are used to construct Kriging meta-models, which act as predictors for the performance objectives. Evolutionary multi-objective optimization is then conducted to spread a population of new candidate experiments towards the zones of search space that are predicted by the Kriging models to have favorable performance, as well as zones that are under-explored. New experiments are then used to update the Kriging models, and the process is repeated until termination criteria are met. Handling a large number of objectives is improved via a special selection operator based on principle component analysis (PCA) within the evolutionary optimization. PCA is used to automatically detect correlations among objectives and perform the selection within a reduced space in order to achieve a better distribution of experimental sample points on the Pareto frontier. Case studies show favorable results in ultra-precision diamond turning of Aluminum alloy as well as high-speed drilling of woven composites.",2014
"Development of a Design Tool for Flow Rate Optimization in the Tata Swach Water Filter","When developing a first-generation product, an iterative approach often yields the shortest time-to-market. In order to optimize its performance, however, a fundamental understanding of the theory governing its operation becomes necessary. This paper details the optimization of the Tata Swach, a consumer water purifier produced for India. The primary objective of the work was to increase flow rate while considering other factors such as cost, manufacturability, and efficacy. A mathematical model of the flow characteristics through the filter was developed. Based on this model, a design tool was created to allow designers to predict flow behavior without prototyping, significantly reducing the necessity of iteration. Sensitivity analysis was used to identify simple ways to increase flow rate as well as potential weak points in the design. Finally, it was demonstrated that maximum flow rate can be increased by 50% by increasing the diameter of a flow-restricting feature while simultaneously increasing the length of the active purification zone. This can be accomplished without significantly affecting cost, manufacturability, and efficacy.",2014
"Sketching in Air: A Single Stroke Classification Framework","We describe a trainable, hand drawn, single stroke 3D sketch–based classification system, using a motion detecting depth sense camera. Our system captures data from a user, who is free to sketch any desired shape in a 3D environment. The overall system is based on a set of previously defined and well developed classifiers, which are, the Rubine Classifier, $1 recognizer and the Image based classifier. The novelty of this paper comes from 1) the classification of sketches drawn in a 3D environment; 2) extending the pixel based image representation to a voxel–based scheme; and 3) combining the results from individual classifiers using a sensitivity matrix. To evaluate the performance of the system, user studies were performed. To validate the significance of results obtained from the user studies, we performed a t–test. Our system outperforms the individual classifiers and is able to achieve an average overall accuracy of 93+%.",2014
"Large-Scale Topology Optimization Using Parameterized Boolean Networks","A novel parameterization concept for structural truss topology optimization is presented in this article that enables the use of evolutionary algorithms in design of large-scale structures. The representational power of Boolean networks is used here to parameterize truss topology. A genetic algorithm then operates on parameters that govern the generation of truss topologies using this random network instead of operating directly on design variables. A genetic algorithm implementation is also presented that is congruent with the local rule application of the random network. The primary advantage of using a Boolean random network representation is that a relatively large number of ground structure nodes can be used, enabling successful exploration of a large-scale design space. In the classical binary representation of ground structures, the number of optimization variables increases quadratically with the number of nodes, restricting the maximum number of nodes that can be considered using a ground structure approach. The Boolean random network representation proposed here allows for the exploration of the entire topology space in a systematic way using only a linear number of variables. The number of nodes in the design domain, therefore, can be increased significantly. Truss member geometry and size optimization is performed here in a nested manner where an inner loop size optimization problem is solved for every candidate topology using sequential linear programming with move-limits. The Boolean random network and nested inner-loop optimization allows for the concurrent optimization of truss topology, geometry, and size. The effectiveness of this method is demonstrated using a planar truss design optimization benchmark problem.",2014
"Strategies for Topologic and Parametric Rule Application in Automated Design Synthesis Using Graph Grammars","Computational Design Synthesis (CDS) is used to enable the computer to generate valid and even creative solutions for an engineering task. Graph grammars are a CDS approach in which engineering knowledge is formalized using graphs to represent designs and rules that describe possible graph transformations, i.e. changes of designs. For most engineering tasks two different kinds of rules are required: rules that change the topology and rules that change parameters of a design. One of the main challenges in CDS using both topologic and parametric rules is to decide ",2014
"Restart Strategies for Constraint-Handling in Generative Design Systems","Product alternatives suggested by a generative design system often need to be evaluated on qualitative criteria. This evaluation necessitates that several feasible solutions which fulfill all technical constraints can be proposed to the user of the system. Also, as concept development is an iterative process, it is important that these solutions are generated quickly; i.e., the system must have a low convergence time. A problem, however, is that stochastic constraint-handling techniques can have highly unpredictable convergence times, spanning several orders of magnitude, and might sometimes not converge at all. A possible solution to avoid the lengthy runs is to restart the search after a certain time, with the hope that a new starting point will lead to a lower overall convergence time, but selecting an optimal restart-time is not trivial. In this paper, two strategies are investigated for such selection, and their performance is evaluated on two constraint-handling techniques for a product design problem. The results show that both restart strategies can greatly reduce the overall convergence time. Moreover, it is shown that one of the restart strategies can be applied to a wide range of constraint-handling techniques and problems, without requiring any fine-tuning of problem-specific parameters.",2014
"Visualization Tool for Interpreting User Needs From User-Generated Content via Text Mining and Classification","The amount of user-generated content related to consumer products continues to grow as users increasingly take advantage of forums, product review sites, and social media platforms. The content is a promising source of insight into users’ needs and experiences. However, the challenge remains as to how concise and useful insights can be extracted from large quantities of unstructured data. We propose a visualization tool which allows designers to quickly and intuitively sift through large amounts of user-generated content and derive useful insights regarding users’ perceptions of product features. The tool leverages machine learning algorithms to automate labor-intensive portions of the process, and no manual labeling is required by the designer. Language processing techniques are arranged in a novel way to guide the designer in selecting the appropriate inputs, and multidimensional scaling enables presentation of the results in concise 2D plots. To demonstrate the efficacy of the tool, a case study is performed on action cameras. Product reviews from Amazon.com are analyzed as the user-generated content. Results from the case study show that the tool is helpful in condensing large amounts of user-generated content into useful insights, such as the key differentiations that users perceive among similar products.",2014
"Facilitating Design-by-Analogy: Development of a Complete Functional Vocabulary and Functional Vector Approach to Analogical Search","Design-by-analogy is an effective approach to innovative concept generation, but can be elusive at times due to the fact that few methods and tools exist to assist designers in systematically seeking and identifying analogies from general data sources, databases, or repositories, such as patent databases. A new method for extracting analogies from data sources has been developed to provide this capability. Building on past research, we utilize a functional vector space model to quantify analogous similarity between a design problem and the data source of potential analogies. We quantitatively evaluate the functional similarity between represented design problems and, in this case, patent descriptions of products. We develop a complete functional vocabulary to map the patent database to applicable functionally critical terms, using document parsing algorithms to reduce text descriptions of the data sources down to the key functions, and applying Zipf’s law on word count order reduction to reduce the words within the documents. The reduction of a document (in this case a patent) into functional analogous words enables the matching to novel ideas that are functionally similar, which can be customized in various ways. This approach thereby provides relevant sources of design-by-analogy inspiration. Although our implementation of the technique focuses on functional descriptions of patents and the mapping of these functions to those of the design problem, resulting in a set of analogies, we believe that this technique is applicable to other analogy data sources as well. As a verification of the approach, an original design problem for an automated window washer illustrates the distance range of analogical solutions that can be extracted, extending from very near-field, literal solutions to far-field cross-domain analogies. Finally, a comparison with a current patent search tool is performed to draw a contrast to the status quo and evaluate the effectiveness of this work.",2014
