title,Abstract,year
"Pattern-Based Reasoning in Critical Parameter Management (CPM) for Rapid Redesign","Critical Parameter Management (CPM) is an emerging area in engineering design owing to the motivation from Design for Six Sigma. Introduced in this paper is the exploration of CPM to support rapid redesign of ",2006
"Topological Synthesis of Shell Structures","Currently available tools for classical topology optimization of structures have proven valuable in conceptual design. These tools may provide design direction very early in the design cycle. However, the results subsequently need to be interpreted and translated by an engineer into a consistent CAD-model. This research focuses on the topological design synthesis of shell structures, which is being carried out using a design language approach. The aim of this approach is to automatically generate, modify and optimize an abstract representation of the design. This representation is automatically translatable into a CAD-model and will thus lead to an optimization process that offers a valid structural CAD-model as result. Design languages serve in this context as a computable abstraction of design representation and synthesis by use of rule-based information processing mechanisms. These rules (also called design patterns), are applied to generate and modify the topology of the design representation. Design patterns contain the engineers know-how and best-practice. The computerized execution of design patterns in a design compiler yields a powerful topology modification tool. As prototype application, the synthesis of shell structures is presented in this work. The automation mechanisms and the information flow through design synthesis, model generation, design analysis and evaluation are outlined. A discussion on the future application of design patterns for knowledge-based structural optimization is derived from the shown examples.",2006
"Growth Design Modeling","As an essential part of design, the conceptual design needs computer assistance from its initial design stage of product development. However computer-aided conceptual design is limited by the current function-to-form mapping approaches. A new growth design process model is proposed in this paper in which geometrical solutions grow gradually from scratch to their complete configurations. Two theoretical design principles, Decomposition & Reconstitution (D&R) principle and Cell Division principle, are briefly introduced to provide better understanding of Growth Design model. The concept of Conceptual Structure is used to support the transition process from conceptual design to detailed design in the growth design process. Finally, an application case is introduced to show the effects of the growth design model.",2006
"Fuzzy Preference Evaluation for Hierarchical Co-Evolutionary Design Concept Generation","Conceptual design is important but complex. Its success heavily depends on a designer’s individual experience and intuition. Design support tools are in need to assist designers to improve design quality and efficiency. However, to date there are few computational tools that are mature enough to provide effective assistance for design concept generation. One of the major reasons is that design information is inherently incomplete and subjective at the early stage of design. No effective evaluation methods have been devised to assess the connectivity between means (i.e., sub-solutions or function carriers) although it has an impact effect on system performance. In this paper, we propose a fuzzy reference model for conceptual design evaluation as part of our hierarchical co-evolutionary design concept generation based on function-means connectivity. An example of designing a simple mechanical transporter is presented to demonstrate the proposed approach.",2006
"Application of a Genetic Algorithm to Concept Variant Selection","This paper outlines a framework for applying a genetic algorithm to the selection of component variants between the conceptual and detailed design stages of product development. A genetic algorithm (GA) is defined for the problem and an example is presented that demonstrates its application and usefulness. Functional modeling techniques are used to formulate the design problem and generate the chromosomes that are evaluated with the algorithm. In the presented example, suitable GA parameters and the break-even point where the GA surpassed an enumerated search of the same solution space were found. Recommend uses of the GA along with limitations of the method and future work are presented as well.",2006
"A Hybrid Method for Parametric Conceptual Vehicle Design Using Legacy Components and Parametric Surfaces","Early conceptual design is one of the most important stages in vehicle product development. At this stage, vehicle design information is limited. In many cases, historical or benchmark vehicle data are used as surrogates in decision making. Some of the legacy components may be reused in the new vehicle design in order to reduce development and manufacturing costs. Nowadays, parametric modeling methods have been developed and employed for conceptual vehicle design. However, how to quickly reuse the previous design and legacy vehicle data in parametric design is still a challenge. A hybrid method for parametric conceptual vehicle design is presented in this paper, which uses both legacy components and parametric surfaces. This method allows easy reuse of historical data together with new parametric surfaces for early vehicle design. It enables mix and match of legacy components with newly designed parametric surfaces in representing a new design. This method provides a systematic way to enforce the commonality and reusability in a vehicle design.",2006
"Exploiting Shape Similarity in Engineering Analysis","Engineering analysis methods, such as the finite element method, are employed extensively to optimize complex engineering designs, but their success in conceptual product development is rather limited since numerous designs must be analyzed to cover the design space, and unfortunately, modern analysis methods can be tedious and time consuming in such scenarios. We propose here a novel analysis methodology for conceptual design wherein, given the simulation results and performance of one of the designs, one predicts upper and lower bounds on the performance of geometrically similar designs. The methodology rests on sound mathematical principles such as adjoint theory of boundary value problems, and is partly motivated by recent work on shape similarity exploitation in manufacturing wherein the cost of manufacturing a new part is estimated by retrieving the manufacturing costs of geometrically similar parts.",2006
"Issues of Similarity in Engineering Design","A useful way to generate solutions to engineering design problems is to compare the solutions of design problems similar to the one at hand and validate the solutions to satisfy the new design requirements. This process involves evaluating the similarity between the design problem at hand and the various design problems in the repository. The purpose of this paper is to investigate the meaning and the use of similarity in engineering design. Various similarity theories in literature have been explored. Previous applications of these theories are limited to the retrieval of similar computer-aided design models and process plans. This paper extends the applications of these theories to the various stages of the design process.",2006
"Enabling Local Risk Assessment to Support Global Collaboration in a Distributed Environment","Risk is a crucial criterion for decision making among multiple stakeholders negotiating for an agreement in a distributed environment. The challenge here is that risk may have different meanings and implications to different stakeholders, and this creates considerable barriers to effective negotiation and coordination in collaborative design. Our goal is to 1) capture the heterogeneous risk information at intra- and inter- stakeholder levels, 2) represent them using a uniform structure based on a function-failure relationship, and 3) enable the negotiation of the risk information among the multiple stakeholders through this uniform structure. Though a significant number of existing methods for risk analysis and management have been developed, these methods mainly focus on the local domain of a certain single stakeholder, and few have considered the possible influence and variations related to global aspects that is important for negotiation among multiple, distributed stakeholders. This work develops intra-level risk property tables to capture and represent the various risk evaluations from individual members in a single stakeholder; and then inter-level risk property tables are formed based on the synthesis of the various intra-level risk properties into a group representation for the single stakeholder, which is directly used in global negotiation and coordination with other stakeholders. An adjustable approach is used in our work to enable the adjustability of the intra- and inter- level risk evaluations via negotiation. An example problem from a NSF/NEES-sponsored research collaborative network is used to demonstrate the use of this method. The preliminary results show that this method has potential in enabling local risk assessment to support global negotiation and coordination in a distributed, collaborative environment.",2006
"Enhanced Convergence in Distributed Design Processes","The focus of this paper is on studying the convergence properties of the solution process of decentralized or distributed subsystems, where each subsystem has its own design problem, including objective(s), constraints, and design variables. The challenging aspect of this type of problem comes in the coupling of the subsystems, which create complex research and implementation challenges in modeling and solving these types of problems. We focus on the dynamics of these distributed design problems and attempt to further the understanding of the fundamental mechanics behind these processes in order to support the decisions being made by a network of decision makers. In this work, the domain of attraction, or region where convergence to a stable equilibrium point is guaranteed, of a decentralized design process is studied. Two approaches based on concepts from nonlinear control theory are presented: the first determines the domain of attraction for a specified Lyapunov function and the second optimizes for a Lyapunov function which maximizes the domain of attraction. The two techniques are illustrated on a benchmark pressure vessel design problem.",2006
"Investigating Different Approaches for Front-Loading Problem Solving in Product Development: Evidence From Engine Engineering","Front-loading problem solving is a strategy that seeks to improve product development performance by shifting the identification and solving of design problems to the earlier phases of product development process. Front-loading reduces the development time by speeding up problem solving process and eliminating the total number of problems solved in a project. Furthermore, it supports intelligent decision making through loading problem solving tasks with required pieces of knowledge. In this work, front-loading is studied from a conceptual view point. Also different approaches for front-loading are investigated and classified. To support the discussions with practical examples, front-loading in studied in the context of engine engineering.",2006
"Case Study Instrument Development for Studying Collaborative Design","This paper outlines a research instrument developed to analyze the relationship between communication modes, leadership styles, and team composition. The instrument is a survey that captures this information from collaborative design team members. This information can be correlated with team success, and the productive characteristics can be encouraged in future groups. The survey was distributed and analyzed in small numbers, and first round recommendations and student feedback are gathered. The developed instrument gathers background information on the student, group, and project. The project itself was defined in four stages: Problem Definition, Concept Generation, Concept Selection, and Concept Expansion. The students were asked questions about the team leadership style based on the Vroom-Yetton Model. The students were then asked how often they used various communication modes (verbal, textual, and graphical) when communicating Peer-to-Peer, Peer-to-Group, and Group as a Whole. These questions were repeated for each of the design stages. The instrument was structured and refined in order to analyze the behavior of undergraduate design students. It is intended to provide researchers and educators a tool to evaluate and critique collaborative behavior in order to streamline the design process. However, the survey was formulated broadly enough to be used in an industrial setting with small changes in the format to accommodate more experienced designers. The analysis of the original distribution revealed that the survey should be broken down into four parts corresponding to the four design stages and administered longitudinally.",2006
"Topology and Classical Shape Optimization of a Lower Control Arm: A Case Study","This paper addresses the design of a lower control arm of a sport utility vehicle. Four worst load cases were identified and for each of them the forces and moments at each of the three ends of the arm were obtained as input. There was also some space constraint within which the arm had to be designed. A finite-element based methodology is presented here to design a lower control arm. First Topology optimization is applied to get an overall approximate shape within the design space. This process is similar to finding out a load path for the structure to withstand the loads. This shape is then sized to withstand all the loads using classical shape optimization techniques. Shape vectors, which are the most important inputs for shape optimization, are generated for the different regions of the control arm. This case study illustrates the complete process of topology and shape optimizations to get a final design of the lower control arm.",2006
"Improved Head Restraint Design for Safety and Compliance","The National Highway Traffic Safety Administration (NHTSA) recently revised Federal Motor Vehicle Safety Standard (FMVSS) 202, which governs head restraints. The new standard, known as FMVSS 202a, establishes for the first time in the U.S. a requirement for the fore-aft position of the head restraint. The fore-aft distance between the head restraint and headform representing a midsize male occupant must not exceed 55 mm when measured with the seat back angle set to 25 degrees. The goal of the rule change is to reduce the incidence of whiplash-associated disorders caused by rear impacts. Moving the head restraint closer to the head prior to impact decreases the amount of relative motion between the occupants’ heads and torsos and is believed to decrease the risk of soft-tissue neck injury. As manufacturers phase in seats that meet the new criterion, some vehicle models are producing complaints from drivers that the head restraint causes discomfort by interfering with their preferred head position, forcing them to select a more reclined seat back angle than they would prefer. To address this issue, an analysis of driver head locations relative to the seat was conducted using a new optimization-based framework for vehicle interior optimization. The approach uses simulations with thousands of virtual occupants to quantity distributions of postural variables of interest. In this case, the analysis showed that smaller-stature occupants are disproportionately likely to experience head-position interference from a head restraint that is rigidly affixed to the seat back. Using an analysis approach that considers both postural and anthropometric variability, design guidelines for the kinematics of an articulated head restraint are proposed. Such a restraint would provide optimal head restraint positioning across occupant sizes while minimizing interference.",2006
"An Efficient Algorithm for Vehicle Crashworthiness Design Via Crash Mode Matching","This paper presents an efficient algorithm for developing vehicle structures for crashworthiness, based on the analyses of ",2006
