title,Abstract,year
"PDE-Driven Level Sets and Shape Sensitivity for Structural Topology Optimization","This paper addresses the problem of structural shape and topology optimization. A level set method is adopted as an alternative approach to the popular homogenization based methods. The paper focuses on four areas of discussion: (1) The level-set model of the structure’s shape is characterized as a region and global representation; the shape boundary is embedded in a higher-dimensional scalar function as its “iso-surface.” Changes of the shape and topology are governed by a partial differential equation (PDE). (2) The velocity vector of the Hamilton-Jacobi PDE is shown to be naturally related to the shape derivative from the classical shape variational analysis. Thus, the level set method provides a natural setting to combine the rigorous shape variations into the optimization process. Finally, the benefit and the advantages of the developed method are illustrated with several 2D examples that have been extensively used in the recent literature of topology optimization, especially in the homogenization based methods.",2004
"An Efficient Feasibility Robust Optimization Method Using a Sensitivity Region Concept","We present a new robust optimization method that ensures feasibility of an optimized design when there are uncontrollable variations in design parameters. This method is developed based on the notion of a sensitivity region, which is a measure of how far a feasible design is from the boundary of a feasible domain in the parameter variation space. As the design moves further inside the feasible domain, and thus becoming more feasibly robust, the sensitivity region becomes larger. Our method is not sampling-based so it does not require a presumed probability distribution as input and is efficient in terms of function evaluations. In addition, our method does not use gradient approximation and thus is applicable to problems having non-differentiable constraint functions and large parameter variations. As a demonstration, we applied our method to an engineering example, the design of a control valve actuator linkage. In this example, we show that the method is efficient and the optimum design obtained is robust.",2004
"Numerical and Experimental Study of Shielding Gas Orientation Effects on Particle Stream Concentration Mode in Coaxial Laser Aided Material Deposition Process","Laser aided deposition quality largely depends on the powder stream structure below the nozzle. Modeling of the powder concentration distribution rarely relies on the numerical approach partially due to the complex phenomenon involved in the two-phase turbulence flow. In this paper, a numerical model is introduced to predict the particle-gas flow precisely and economically in order to meet the practical requirement for coaxial nozzle design optimizations. This model is able to quantitatively predict the powder stream concentration mode under different outer shielding gas directions and inner/outer gas velocity ratio. The numerical simulation results are compared with the experimental study using prototyped coaxial nozzles. The results are found to match. This study shows that the particle concentration mode is influenced significantly by the outer gas direction and gas flow settings.",2004
"Analysis of Decomposability and Complexity for Design Problems in the Context of Decomposition","The current practice in problem decomposition assumes that (1) design problems can be ",2004
"Freeform Feature Retrieval by Signal Processing","Feature retrieval is of great importance in shape modelling, in terms of supporting design reuse by obtaining reusable geometric entities. However, conventional techniques for feature retrieval are generally limited to the extraction of feature lines, curve segments, or surfaces, and the feature distortion imposed by feature interaction remains unconsidered. This paper investigates approaches for freeform feature retrieval by means of signal processing techniques. By treating features or regions of interest as surface signals, we employ digital filters to separate the feature signal from that of the domain surface, retrieving the “pure” feature from an existing shape model. Strategies for different model types are elaborated, for instance, the exact feature retrieval method designed for shape models with explicit data structure, such as B-Rep, or other accessible representations; and the signal filtering method for models with structured or unstructured data sets, such as that in mesh or point cloud models. Specifically, in the signal filtering method feature retrieval is implemented by the convolving operator in the frequency domain. By transforming the problem of shape decomposition from geometric extraction in the spatial domain to computation in the frequency domain, the proposed methods not only brings in significant computational efficiency, but also reduces the complexity of problem solving for feature retrieval. Provided examples show that the proposed approaches can achieve satisfactory results for simple geometries, whereas for sophisticated shapes guidelines for the design of dedicated filters are elaborated.",2004
"Covariance Modeling Method for Use in Compliant Assembly Tolerance Analysis","In assemblies involving compliant parts, springback and residual stress are caused when geometric variation in the assembly requires the parts be deformed to allow for assembly. A method is needed to predict the deformation due to the geometric variations. Researchers in the areas of Statistical Tolerance Analysis and Stochastic Finite Element Analysis have developed methods to account for statistical variation of parameters in a finite element model. A new statistical method uses an orthogonal polynomial-based covariance model to account for surface variation of the compliant parts over a wide range of wavelengths. The method has been demonstrated to match the accuracy of Monte Carlo simulation with a single calculation, and accurately model covariance data taken from real parts.",2004
"A Product Ontology for Automotive Seat Specification","A knowledge-based requirements management tool is being developed for the automotive industry to aid in the specification of modular systems whose development is contracted out to the supply chain. The aim of this tool is to allow the original equipment manufacturer (OEM) and their system suppliers to have a shared conceptualization of the product requirements. This paper highlights some of the issues with the current paper-based specifications and the use of natural language to represent the requirements. The framework of the knowledge-based tool in order to address these issues through the application of ontology is described. A ‘product’ ontology for the specification of the seating assembly for a car is presented. The ontology encapsulates the required functionalities, design parameters, performance criteria, structure and geometry. This is the result of the consensual convergence in the vocabulary, definitions and attributes that describe the product requirements.",2004
"Resistance Based Modeling of Collaborative Design","The paper presents a new model for collaborative design. The model is analogous to electrical circuits with current (rate of design artifact synthesis and analysis), voltage (knowledge that drives the design process), and resistance (barriers to the exchange of design information). The resistances are identified from a collaborative design taxonomy. This model is illustrated through a simple example. Extensions and an assessment of the model are provided.",2004
"An Optimization Study of the Ultrasonic Welding of Thin Film Polymers","In manufacturing industries, ultrasonic welding has established itself as one of the most effective techniques for fusing plastic assemblies due to its rapid performance and the absence of filler material. In this report, a thermoplastic polyurethane prototype of an orthopedics device that requires a hermetic seal is joined using ultrasonic welding. A robust design approach is used to study the manufacturing control factors that influence the process. The welding process factors and their interactions are used to characterize the resulting seal. Burst testing is used to assess weld strength. Optical microscopy in addition to SEM images, are used for a qualitative evaluation of the welded joint. Optimum process parameter settings from the robust design study deliver a strong and leak-proof weld.",2004
"A Method to Solve Inverse Kinematics Problems Using Lie Algebra and Its Application to Robot Spray Painting Simulation","This paper presents a new method for robot spray painting simulation. First, the authors introduce a method for rigid body motion interpolation proposed by Zefran for generating smooth trajectories of a spray gun. Second, the authors propose a method to solve inverse kinematics problems using Lie algebra for computing the motion of the robot manipulator from the spray gun’s motion. Third, the authors propose a method for calculation of color depth of the workpiece painted with the spray gun. Finally, in order to evaluate the usefulness of the three proposed methods, the authors develop a simulation system for robot spray painting.",2004
