title,Abstract,year
"Lighting Optimization for Sustainable Building Design Considering User Productivity","User productivity is a key component of an integrated sustainable building design framework, as a consideration in addition to operating and construction costs associated with sustainable building practices. Research has shown that employee productivity increases as visible light levels rise in the workplace. Incorporating efficient lighting systems into sustainable building techniques can potentially increase user productivity while reducing electricity costs. This paper presents a single criterion approach that captures the trade-offs between costs, users, and current building standards. A model has been created to explore the feasible design space of a commercial workspace by populating a repository of both active and passive lighting components that can be accessed to generate various lighting designs. A genetic algorithm is used to optimize potential lighting choices in a given workspace, and allows the designer to explore Pareto optimal productivity solutions that best fit the desired application. The result is an optimal solution for a given workspace lighting configuration that captures user productivity while minimizing operating costs.",2012
"Finite Element Synthesis for Design Optimization","The present work introduces a new Finite Element methodology that can be used directly in calculating and optimizing the thickness of a mechanical structure. This method depends on the constant strain triangle model after assuming different thicknesses at the elements nodes. A linear relation between the nodes thicknesses is assumed and a new stiffness matrix is created. Nodes thicknesses are optimized using the developed HGP method to reach uniform stress among the structure to satisfy the constrained allowable stress designated by the designer. Examples and sample applications are employed for comparisons and their results culminate in removing unnecessary elements and increasing the thickness, which is subjected to high stresses. Results indicate marked improvements and potential for topology optimization.",2012
"A Local-Diffusion Genetic Algorithm for Disjoint Pareto-Optimal Problems With Application to Vehicle Suspension","This paper presents a multi-objective design optimization study of a vehicle suspension system with passive variable stiffness and active damping. Design of suspension systems is particularly challenging when the effective mass of the vehicle is subject to considerable variation during service. Perfectly maintaining the suspension performance under the variable load typically requires a controlled actuator in order to emulate variable stiffness. This is typically done through a hydraulic or pneumatic system, which can be too costly for small/medium pickup trucks. The system in this paper employs two springs with an offset to the second spring so that it engages during large deformation only, thereby providing passive variable stiffness without expensive hydraulics. The system damping is assumed to be controlled via variable viscosity magnetizable fluid, which can be implemented in a compact, low-power setup. Simulation of the suspension system is performed by numerically solving the nonlinear equations of motion for a quarter-vehicle mode subject to excitation from a road profile over a set period of time. A performance index from the literature is evaluated for the suspension system for the cases of minimum and maximum weight, and the two indices values are regarded as objectives in a multi-objective problem. As the individual objectives are prone to having local optima, the multi-objective problem is prone to having a disjointed Pareto-space. To deal with this issue, a modification is proposed to a multi-objective genetic algorithm. The algorithm performance is investigated via analytical test functions as well as a design case of the suspension system. Results show a reduction in the system’s spring size, with the Pareto point obtained from the proposed diffusion model, without compromising the system’s performance.",2012
"Optimum Design of Columns Under Elastic Buckling","In this paper, a generalized approach is developed to optimize column configuration subjected to buckling load. The configuration utilizes B-spline contour to provide more freedom to model the column shape. Previous columns in literature use tapered or parabolic tapered for configuration. This work considers hinged-hinged columns of circular solid cross-sectional area. Two sample applications are optimized using Genetic Algorithm with the finite difference method to satisfy the buckling constraints. The length and load are fixed. The objective is to minimize the volume considering the cross-sectional diameters as the design variables. B-Spline quadratic with three and five control points and cubic with five control points are applied. The proposed configuration is compared with tapered and parabolic tapered columns. Results show that continuity provides a better optimum against column buckling than other tapered columns. Even though volume is more than some configurations by about 1.67%, but those configurations would not satisfy buckling constraints over the entire length of the column.",2012
"Interactive UAS Path Planning Using Particle Swarm Optimization and Flight Mechanics","Military engagements are continuing the movement toward automated and unmanned vehicles for a variety of military tasks. One important piece of automating is the ability to perform path planning quickly, safely, and reliably for unmanned aerial systems (UASs). Path planners often ignore the UAS’s ability to perform the maneuvers necessary to fly through the specified waypoints, instead relying on them to fly as close as possible. To date, path planning algorithms have been limited to providing only a single solution without input from an operator. This project attempts to incorporate operator experience in the path planning process. Particle Swarm Optimization (PSO) allows the generation of multiple optimized three-dimensional flight paths for the operator to choose from. This paper improves upon a previously developed method by incorporating flight mechanics equations into the optimization problem formulation. The new problem formulation ensures that the returned flight paths do not violate maximum load factor (G-force), minimum velocity (stall velocity), or the minimum turning radius.",2012
"A Framework for Parallel Sampling of Design Space With Application to Vehicle Crashworthiness Optimization","This paper presents a framework for simulation-based design optimization of computationally-expensive problems, where economizing the generation of sample designs is highly desirable. Various meta-modeling schemes are used in practice in order to approximate the input-output relationships in the designed system and suggest candidate locations in the design space where high quality designs are likely to be found. One such popular approach is known as ",2012
"Non-Probabilistic Based Structural Design Optimization Under External Load Uncertainty With Eigenvalue-Superposition of Convex Models","The non-probabilistic-based structural design optimization problems with external load uncertainties are often solved through a two-level approach. However there are several challenges in this method. Firstly, to assure the reliability of the design, the lower level problem must be solved to its global optimality. Secondly, the sensitivity of the upper level problem cannot be analytically derived. To overcome these challenges, a new method based on the Eigenvalue-Superposition of Convex Models (ESCM) is proposed in this paper. The ESCM method replaces the global optimum of the lower level problem by a confidence bound, namely the ESCM bound, and with which the two-level problem can be formulated into a single level problem. The advantages of the ESCM method in efficiency and stability are demonstrated through numerical examples.",2012
"A Graph Grammar Based Approach to Automated Manufacturing Planning","In this paper, a new graph grammar representation is proposed to reason about the manufacturability of solid models. The knowledge captured in the graph grammar rules serves as a virtual machinist in its ability to recognize arbitrary geometries and match them to various machine operations. Firstly, a given part is decomposed into multiple sub-volumes, where each sub-volume is assumed to be machined in one operation or to be non-machinable. The decomposed part is converted into a graph so that graph grammar rules can determine the machining details. For each operation, rules determine the face on the part that the tool enters, the type of tools used, the type of machine used, and how the part is fixed within the machine. A candidate plan is a feasible sequence of all of the necessary machining operations needed to manufacture this part. If a given geometry is not machinable, the rules will fail to find operations for all of the partitions.",2012
"On the Use of Active Learning in Engineering Design","Active learning refers to the mechanism of querying users to accomplish a classification task in machine learning or a conjoint analysis in econometrics with minimum cost. Classification and conjoint analysis have been introduced to design research to automate design feasibility checking and to construct marketing demand models, respectively. In this paper, we review active learning algorithms from computer and marketing science, and establish the mathematical commonality between the two approaches. We compare empirically the performance of active learning and static D-optimal design on simulated classification and conjoint analysis test problems with labelling noise. Results show that active learning outperforms D-optimal design when query size is large or noise is small.",2012
"Representation: Structural Complexity of Assemblies to Create Neural Network Based Assembly Time Estimation Models","Assembly time estimation is traditionally a time intensive manual process requiring detailed geometric and process information to be available to a human designer. As a result of these factors, assembly time estimation is rarely applied during early design iterations. This paper explores the possibility that the assembly time estimation process can be automated while reducing the level of design detail required. The approach presented here trains artificial neural networks (ANNs) to estimate the assembly times of vehicle sub-assemblies at various stages using properties of the connectivity graph at that point as input data. Effectiveness of estimation is evaluated based on the distribution of estimates provided by a population of ANNs trained on the same input data using varying initial conditions. Results suggest that the method presented here can complete the time estimation of an assembly process with +/− 15% error given an initial sample of manually estimated times for the given sub-assembly.",2012
"Representation: Formal Development and Computational Recognition of Localized Requirement Change Types","Requirement change propagation, the process in which a change to one requirement results in additional requirement changes when otherwise this change would not have been needed, occurs frequently and must be managed. Multiple approaches exist, and have been readily published, for predicting requirement change propagation, analyzing change how a change to one requirement may propagate forward to other, related requirements (global level). However, the type of change encountered within a single requirement (localized level) has not been thoroughly studied and could be used to assist in the global analysis of requirement change propagation. This paper seeks to begin to fill this gap by identifying types of change requirements may encounter. By surveying research performed in the realm of requirement change, a taxonomy of change types is developed. To computationally analyze the changes, the localized requirement changes are represented through syntactical elements to identify which requirements’ parts of speech is affected. Using part of speech language rules, the identification of requirement change type is automatically identified. Further, the automatic identification of requirement change type is used to assist in predicting change propagation, a process currently automated. This bridges the gap between localized and global requirement change in an automated, systematic manner.",2012
"Decision-Based Design Using Time-Varying Preferences Represented by Stochastic Processes","Soliciting and expressing the preferences of a decision maker in engineering design is critical. In general, the preferences vary through time, complicating the design of engineering systems. In this article, we propose that if parameterized utility functions are used to model the preferences, the time-varying characteristics of the parameters can provide valuable information on the likely decisions the decision maker can make at a future time. To model the time-dependent uncertainty in preferences, we use parameterized utility functions with the parameters characterized by stochastic processes and demonstrate how the design process is affected by stationarity properties of the random parameters. We work in the normative utility theoretic domain and show a property of the multiplicative utility function that allows us to use the common Black-Scholes-Merton options pricing model from finance, to account for variability in preferences with time. Finally, we discuss how to modify the design process so that optimal products are ready when there is a future need for them. The applicability of our approach is demonstrated using a cell phone example.",2012
"Enabling Decision-Based Design Using Solution Trajectory Correction and Backtracking Rules","Optimization is needed for effective decision based design (DBD). However, a utility function assessed a priori in DBD does not usually capture the preferences of the decision maker over the entire design space. As a result, when the optimizer searches for the optimal design, it traverses (or ends up) in regions where the preference order among different solutions is different from the actual order. For a highly non-convex design space, this can lead to convergence to a grossly suboptimal design depending on the initial design. In this article, we propose two approaches to alleviate this issue. First, we map the trajectory of the solution as generated by the optimizer and generate ranking questions that are presented to the designer to verify the correctness of the utility function. We then propose backtracking rules if a local utility function is very different from the initially assessed function. We demonstrate our methodology using a mathematical example and a welded beam design problem.",2012
"Coordination of Product Design Process in View of Product and Organizational Structures","Management of product design projects becomes increasingly difficult as the complexity of products increases. For better management of such projects, well-considered preliminary coordination of design processes is essential. This paper proposes a method for coordination in the design process, which comprises two phases: 1) division of the design work into smaller tasks and sequencing them and 2) establishment of management activities. To facilitate this coordination, an integrated model of a product, process, and organization is proposed.",2012
"Safety Design Evaluation of Motorcycle Helmet for Oblique Impact","In this work, safety of motorcycle helmet design is investigated by using standard oblique impact test method. First, testing procedure is explained and test rig mechanism is introduced. Next, standard impact tests are performed on helmets. Data are collected using a tri-axial linear accelerometer embedded inside the headform and a high speed camera for measuring rotational acceleration. Then, results are studied and compared to injurious limit for human head injury. It is shown that during an oblique impact rotational acceleration can easily surpass the safe limit while the linear acceleration is well below the safe limit.",2012
"Optimization Method of Location for Cooperative Lifting of Two Mobile Cranes","Dual-crane lifting has been generally used with the need of erection and installation of large equipment. Choosing proper locations for two mobile cranes is an important work as well as a difficulty in design of heavy lifting plan. So, this paper proposes an optimization method of location for cooperative lifting of dual-crane. This approach starts with determining search field and maximum step length, and then finds out load’s possible initial locations by bisection method; secondly calculates work envelope of dual-crane which will be dispersed to find all dual-crane’s possible locations; after this, it puts cranes in their respective possible locations corresponding to each load’s location and simulates the whole lifting course while carries out collision detection to exclude crash happened locations; finally, creates weighted optimization function, uses enumeration method to traverse all collision-free locations, and gains optimal location of dual-crane and load. At last, this approach has been used in an actual engineering case and optimal location is got, from which we can see its feasibility and validity.",2012
"Application of Dynamic State Variable Models for Multiple-Generation Product Lines With Cannibalization Across Generations","Developing multiple-generation of products has become a mainstream tactic in today’s markets. The most notable case is Apple Inc.’s huge success with its iPod, iPhone and iPad product lines. Multiple-generation product lines require carefully planned strategies. Under a multiple-generation product development strategy, companies introduce a line of products to the market instead of introducing a single product to better utilize technology assets and resources in an elongated time span. For such product development and launch scenarios, cannibalization can occur, however. That is, multiple product generations compete in the same market and partition the company’s market shares. In the paper, we propose a new framework to predict the sales and introduction timing for every product generation in a multiple-generation product line while considering cannibalization. We demonstrate a case study implementing the proposed framework on Apple Inc.’s iPhone product line. The results show that the forecast performance of the model matches the realized real data.",2012
